row_idx,annotation,score,semantic_rank,status,is_amr,category,confidence,evidence_terms,reason,error_message,retry_count,completed_at,updated_at
22,antibiotic biosynthesis monooxygenase,0.44892436265945435,23,completed,,non_amr_antibiotic_biosynthesis,0.98,"[""antibiotic biosynthesis"",""monooxygenase""]","The annotation explicitly indicates a biosynthetic enzyme involved in making an antibiotic, not a mechanism of resistance to an antibiotic.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
23,arsenical resistance operon transcriptional repressor,0.43642085790634155,24,completed,,non_amr_metal_resistance,0.98,"[""arsenical resistance operon"",""repressor""]","This annotation refers to regulation of an arsenic/arsenical resistance operon, which is a resistance mechanism. Although it is not antibiotic resistance, it is clearly an AMR-related resistance annotation and falls under metal resistance.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
24,antibiotic biosynthesis protein AlbB,0.4344575107097626,25,completed,,non_amr_antibiotic_biosynthesis,0.99,"[""antibiotic biosynthesis protein"",""AlbB""]","The annotation explicitly says biosynthesis, indicating a role in producing an antibiotic rather than resisting one. This is not an AMR function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
25,"antibiotic biosynthesis monooxygenase, partial",0.43427562713623047,26,completed,,non_amr_antibiotic_biosynthesis,0.99,"[""antibiotic biosynthesis"",""monooxygenase""]","The annotation explicitly refers to antibiotic biosynthesis, which indicates production of an antibiotic rather than resistance to one. ""Monooxygenase"" is a biosynthetic enzyme class and does not by itself imply AMR.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
26,antibiotic biosynthesis monooxygenase family protein,0.43272632360458374,27,completed,,non_amr_antibiotic_biosynthesis,0.99,"[""antibiotic biosynthesis"",""monooxygenase family protein""]","The annotation explicitly indicates a role in antibiotic biosynthesis rather than resistance. This fits non-AMR antibiotic production enzymes, not an AMR mechanism.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
27,beta-lactam resistance protein,0.43064752221107483,28,completed,,antibiotic_resistance,0.99,"[""beta-lactam"",""resistance protein""]","The annotation explicitly indicates resistance to beta-lactam antibiotics, which is a clear AMR function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
28,multiple antibiotic resistance protein MarB,0.4281417727470398,29,completed,,antibiotic_resistance,0.98,"[""multiple antibiotic resistance"",""MarB""]","The annotation explicitly names a multiple antibiotic resistance protein (MarB), which is associated with antibiotic resistance.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
29,sensor of antibiotic stress on the cell wall,0.42594432830810547,30,completed,,antibiotic_resistance,0.82,"[""antibiotic stress"",""cell wall""]","The annotation explicitly refers to sensing antibiotic stress, which is part of an antibiotic resistance response rather than biosynthesis, metabolism, or generic transport.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
30,bacitracin resistance undecaprenyl-diphosphatase,0.424921452999115,31,completed,,antibiotic_resistance,0.98,"[""bacitracin resistance"",""undecaprenyl-diphosphatase""]","The annotation explicitly states bacitracin resistance, indicating a resistance mechanism against an antibiotic. Undecaprenyl-diphosphatase is a known bacitracin resistance-associated protein.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
31,erythromycin resistance leader peptide,0.424590140581131,32,completed,,antibiotic_resistance,0.98,"[""erythromycin resistance"",""leader peptide""]","The annotation explicitly mentions erythromycin resistance, which is an antibiotic resistance phenotype. A leader peptide in this context is typically part of a resistance regulatory mechanism associated with macrolide resistance.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
32,two-component sensor histidine kinase controlling resistance to antibiotics affecting the envelope,0.4244614243507385,33,completed,,antibiotic_resistance,0.96,"[""resistance to antibiotics"",""sensor histidine kinase"",""envelope""]","The annotation explicitly states a role in resistance to antibiotics, and the two-component sensor histidine kinase is described as controlling that resistance. This is consistent with an AMR-associated regulatory protein.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
33,multiple antibiotic resistance regulatory protein MarB,0.4244069755077362,34,completed,,antibiotic_resistance,0.96,"[""multiple antibiotic resistance"",""regulatory protein"",""MarB""]","MarB is part of the multiple antibiotic resistance (Mar) system, which regulates antibiotic resistance responses. The annotation explicitly indicates antibiotic resistance association.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
34,MULTISPECIES: peptide antibiotic resistance protein,0.42321115732192993,35,completed,,antibiotic_resistance,0.98,"[""peptide antibiotic resistance protein""]","The annotation explicitly states 'antibiotic resistance protein' and specifically refers to peptide antibiotic resistance, which is an AMR function.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
35,putative antibiotic immunity protein,0.4227120280265808,36,completed,,antibiotic_resistance,0.87,"[""antibiotic immunity protein""]","An antibiotic immunity protein protects the producing organism from its own antibiotic, which is an AMR-related function. The term 'putative' adds uncertainty, but the annotation is still best classified as antibiotic resistance-related.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
36,anti-CRISPR protein,0.4210357666015625,37,completed,,non_amr_virulence,0.83,"[""anti-CRISPR"",""protein""]",Anti-CRISPR proteins inhibit CRISPR-Cas defense systems in bacteria/phages; they are not antibiotic resistance determinants and are better classified as a virulence/phage-defense related factor.,,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
37,bacitracin resistance protein bacA,0.42018771171569824,38,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance protein"",""bacA""]","BacA is explicitly annotated as a bacitracin resistance protein, which is an antimicrobial resistance function.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
38,putative antibiotic biosynthesis monooxygenase,0.41851258277893066,39,completed,,non_amr_antibiotic_biosynthesis,0.98,"[""antibiotic biosynthesis"",""monooxygenase""]","The annotation explicitly refers to antibiotic biosynthesis, which is not AMR. It describes a biosynthetic enzyme rather than a resistance mechanism.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
39,"cell wall-active antibiotics response protein, partial",0.41800281405448914,40,completed,,antibiotic_resistance,0.88,"[""cell wall-active antibiotics"",""response protein""]","The annotation explicitly refers to a response protein associated with cell wall-active antibiotics, which strongly suggests an antibiotic resistance/stress response function rather than biosynthesis or generic transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
40,resistance protein,0.4163243770599365,41,completed,,antibiotic_resistance,0.83,"[""resistance protein""]","The annotation explicitly indicates a resistance-associated protein, which fits AMR-related function even though the specific antibiotic or mechanism is not given.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
41,multidrug resistance secretion protein,0.41618406772613525,42,completed,,antibiotic_resistance,0.96,"[""multidrug resistance"",""secretion protein""]","The phrase ""multidrug resistance"" is a strong AMR indicator. A secretion protein in this context is commonly part of an efflux/secretion system associated with antibiotic resistance rather than general transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
42,antibiotic efflux protein,0.4154292345046997,43,completed,,antibiotic_resistance,0.96,"[""antibiotic"",""efflux"",""protein""]","An efflux protein explicitly associated with antibiotics is typically an antibiotic resistance mechanism, as it removes the drug from the cell.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
43,antibiotic transporter,0.4129323959350586,44,completed,,ambiguous,0.86,"[""antibiotic transporter"",""transporter""]","The phrase indicates a transporter associated with antibiotics, but it does not specify a resistance mechanism, drug efflux function, or a known AMR family. Generic transport annotations are treated as ambiguous unless clearly resistance-related.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
44,MULTISPECIES: efflux pump antibiotic resistance protein,0.4127681255340576,45,completed,,antibiotic_resistance,0.98,"[""efflux pump"",""antibiotic resistance protein""]","The annotation explicitly identifies an efflux pump involved in antibiotic resistance, which is a clear AMR function.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
45,tetracycline resistance ribosomal protection protein,0.4117882549762726,46,completed,,antibiotic_resistance,0.99,"[""tetracycline resistance"",""ribosomal protection protein""]",This is a well-known AMR mechanism: ribosomal protection proteins confer resistance to tetracycline by protecting the ribosome from antibiotic action.,,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
46,chloramphenicol resistance protein,0.41176173090934753,47,completed,,antibiotic_resistance,0.99,"[""chloramphenicol"",""resistance protein""]","Explicitly labeled as a chloramphenicol resistance protein; chloramphenicol is an antibiotic, so this is AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
47,colistin resistant protein CrrC,0.41148531436920166,48,completed,,antibiotic_resistance,0.98,"[""colistin resistant"",""CrrC""]","CrrC is explicitly described as a colistin resistance protein, and colistin is an antibiotic; this is direct AMR annotation.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
48,tetracycline resistance MFS efflux pump,0.4112395644187927,49,completed,,antibiotic_resistance,0.99,"[""tetracycline resistance"",""MFS efflux pump""]","This annotation explicitly states tetracycline resistance and identifies an MFS efflux pump, which is a known antibiotic resistance mechanism.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
49,microbial anti-inflammatory protein,0.40976470708847046,50,completed,,non_amr_virulence,0.91,"[""anti-inflammatory"",""protein""]","This annotation refers to a virulence/immunomodulatory factor that modulates host inflammation, not an antibiotic resistance mechanism, antibiotic biosynthesis, or resistance-specific transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
50,antibiotic biosynthesis regulator FhaB,0.40934109687805176,51,completed,,non_amr_antibiotic_biosynthesis,0.95,"[""antibiotic biosynthesis regulator""]","This annotation refers to regulation of antibiotic biosynthesis, not antibiotic resistance. FhaB is described as a biosynthesis regulator rather than a resistance determinant.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
51,"antibiotic biosynthesis monooxygenase family protein, partial",0.40919744968414307,52,completed,,non_amr_antibiotic_biosynthesis,0.98,"[""antibiotic biosynthesis"",""monooxygenase family protein""]","The annotation explicitly indicates a role in antibiotic biosynthesis, which is not AMR; it describes production of an antibiotic rather than resistance to it.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
52,methicillin resistance protein FmtA,0.4089891314506531,53,completed,,antibiotic_resistance,0.98,"[""methicillin resistance"",""resistance protein""]","The annotation explicitly describes a methicillin resistance protein, which is directly associated with antibiotic resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
53,phenazine antibiotic biosynthesis protein,0.40894627571105957,54,completed,,non_amr_antibiotic_biosynthesis,0.99,"[""phenazine"",""antibiotic biosynthesis""]","This annotation refers to biosynthesis of the antibiotic phenazine, not resistance to antibiotics.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
54,arsenical resistance transcriptional repressor,0.40859460830688477,55,completed,,non_amr_metal_resistance,0.97,"[""arsenical resistance"",""resistance"",""transcriptional repressor""]","This annotation explicitly describes resistance to arsenicals, which are toxic metalloids rather than antibiotics. It is resistance-related, but not AMR in the antibiotic-resistance sense, so it fits metal resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
55,antimicrobial peptide ABC transporter ATPase,0.40597257018089294,56,completed,,antibiotic_resistance,0.93,"[""antimicrobial peptide"",""ABC transporter"",""ATPase""]","The annotation explicitly refers to an ABC transporter ATPase associated with antimicrobial peptide resistance. Transporters of antimicrobial peptides are a recognized AMR mechanism, typically contributing to efflux/export or protection against these compounds.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
56,antimicrobial peptide ABC transporter ATP-binding protein,0.4055370092391968,57,completed,,antibiotic_resistance,0.96,"[""antimicrobial peptide"",""ABC transporter"",""ATP-binding protein""]","This annotation describes an ABC transporter associated with antimicrobial peptide resistance. Transporters of this type commonly mediate export or protection against antimicrobial peptides, which falls under AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
57,antibiotic ABC transporter,0.4032328128814697,58,completed,,ambiguous,0.91,"[""antibiotic"",""ABC transporter""]","The phrase suggests a generic ABC transporter associated with antibiotics, but it does not clearly specify an AMR mechanism such as antibiotic efflux resistance, target modification, or a known resistance protein. As written, it is ambiguous and should not be labeled as definite AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
58,antibiotic biosynthesis regulator FhaA,0.40249019861221313,59,completed,,non_amr_antibiotic_biosynthesis,0.97,"[""antibiotic biosynthesis"",""regulator""]","This annotation refers to regulation of antibiotic biosynthesis, not antibiotic resistance. It is therefore not AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
59,methicillin resistance factor FemA,0.40177398920059204,60,completed,,antibiotic_resistance,0.99,"[""methicillin resistance factor"",""resistance"",""FemA""]","The annotation explicitly names FemA as a methicillin resistance factor, which is directly associated with antibiotic resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
60,chloramphenicol resistance leader peptide,0.3988840878009796,61,completed,,antibiotic_resistance,0.96,"[""chloramphenicol resistance"",""leader peptide""]","The annotation explicitly mentions chloramphenicol resistance, which is an antibiotic resistance function. The leader peptide is associated with regulation of a resistance gene rather than biosynthesis or generic transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
61,multiple antibiotic resistance transcriptional regulator MarR,0.3986247777938843,62,completed,,antibiotic_resistance,0.98,"[""multiple antibiotic resistance"",""MarR"",""regulator""]","The annotation explicitly refers to 'multiple antibiotic resistance' and the MarR family regulator, which is associated with antibiotic resistance regulation rather than biosynthesis or generic transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
62,quinolone resistance protein norA,0.39840084314346313,63,completed,,antibiotic_resistance,0.99,"[""quinolone resistance"",""norA""]","NorA is a known multidrug efflux pump associated with quinolone resistance, so this annotation clearly indicates antibiotic resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
63,putative multiple antibiotic resistance protein MarR,0.3981766402721405,64,completed,,antibiotic_resistance,0.96,"[""multiple antibiotic resistance"",""MarR""]","The annotation explicitly refers to a multiple antibiotic resistance protein. MarR-family proteins are commonly associated with regulation of antibiotic resistance responses, so this is AMR-related.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
64,antibiotic ABC transporter ATP-binding protein,0.39700454473495483,65,completed,,ambiguous,0.91,"[""antibiotic ABC transporter"",""ATP-binding protein""]","The annotation suggests an ABC transporter associated with antibiotics, but it does not clearly indicate a known antibiotic resistance mechanism (e.g., specific efflux pump or resistance determinant). As a generic transporter, it is ambiguous rather than definitively AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
65,tetracycline resistance ribosomal protection protein Otr(A),0.39644700288772583,66,completed,,antibiotic_resistance,0.99,"[""tetracycline resistance"",""ribosomal protection protein"",""Otr(A)""]","Otr(A) is explicitly annotated as a tetracycline resistance ribosomal protection protein, which is a well-known AMR mechanism that protects the ribosome from tetracycline action.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
66,antimicrobial peptide transport ABC transporter periplasmic binding protein,0.3960297703742981,67,completed,,antibiotic_resistance,0.95,"[""antimicrobial peptide transport"",""ABC transporter"",""periplasmic binding protein""]","The annotation explicitly refers to transport of antimicrobial peptides, which is a resistance-associated function, likely involved in efflux/import linked to antimicrobial peptide resistance rather than generic transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
67,MULTISPECIES: antibiotic biosynthesis monooxygenase,0.3959958851337433,68,completed,,non_amr_antibiotic_biosynthesis,0.98,"[""antibiotic biosynthesis"",""monooxygenase""]","The annotation explicitly indicates a biosynthetic enzyme involved in antibiotic production, not a resistance mechanism.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
68,bacitracin resistance transcriptional activator BcrR,0.3959466218948364,69,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance"",""transcriptional activator"",""BcrR""]","The annotation explicitly states bacitracin resistance and names BcrR, a known resistance-associated regulator for bacitracin response, so it is an AMR factor.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
69,bacitracin resistance protein BacA,0.39592793583869934,70,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance protein"",""BacA"",""resistance""]","The annotation explicitly states bacitracin resistance, which is a clear antibiotic resistance function. BacA is associated with protection against bacitracin, so this is AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
70,bacitracin resistance undecaprenyl-diphosphatase BcrD,0.395791620016098,71,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance"",""BcrD"",""undecaprenyl-diphosphatase""]","The annotation explicitly states bacitracin resistance and identifies BcrD, an undecaprenyl-diphosphatase associated with bacitracin resistance mechanisms.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
71,arsenical resistance operon transcriptional regulator ArsR,0.395569384098053,72,completed,,non_amr_metal_resistance,0.99,"[""arsenical resistance operon"",""ArsR"",""resistance""]","ArsR is a transcriptional regulator of the arsenical resistance operon, which is a metal(loid) resistance system rather than antimicrobial resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
72,beta-lactam resistance family protein,0.39535003900527954,73,completed,,antibiotic_resistance,0.98,"[""beta-lactam"",""resistance"",""family protein""]","The annotation explicitly mentions beta-lactam resistance, which is a clear antimicrobial resistance function.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
73,bacitracin resistance ABC transporter permease subunit BcrB,0.39321765303611755,74,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance"",""ABC transporter"",""BcrB""]","BcrB is a known bacitracin resistance ABC transporter permease subunit, directly indicating antibiotic resistance rather than generic transport.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
74,fosmidomycin resistance protein,0.39309239387512207,75,completed,,antibiotic_resistance,0.98,"[""resistance protein"",""fosmidomycin""]","The annotation explicitly states resistance to fosmidomycin, an antibiotic/antimicrobial compound, so this is an AMR-related protein.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
75,amonabactin biosynthesis non-ribosomal peptide synthetase AmoF,0.3929481506347656,76,completed,,non_amr_antibiotic_biosynthesis,0.99,"[""biosynthesis"",""non-ribosomal peptide synthetase"",""amonabactin""]","This annotation describes a biosynthetic non-ribosomal peptide synthetase involved in amonabactin production, not an antibiotic resistance mechanism. Biosynthesis genes are not classified as AMR.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
76,multidrug resistance protein A,0.39253759384155273,77,completed,,antibiotic_resistance,0.96,"[""multidrug resistance"",""protein A""]","The annotation explicitly indicates a multidrug resistance protein, which is a classic AMR-associated efflux/resistance factor.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
77,putative resistance protein,0.39109861850738525,78,completed,,antibiotic_resistance,0.86,"[""resistance protein"",""putative""]","The annotation explicitly names a resistance protein, which is strongly suggestive of an AMR-related function even though it is putative and unspecific.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
78,antibiotic acetyltransferase,0.391051709651947,79,completed,,antibiotic_resistance,0.97,"[""antibiotic"",""acetyltransferase""]","Antibiotic acetyltransferases commonly inactivate antibiotics by acetylation, which is a known AMR mechanism.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
79,beta-lactam resistance membrane protein,0.3909136652946472,80,completed,,antibiotic_resistance,0.97,"[""beta-lactam resistance"",""membrane protein""]","The annotation explicitly states beta-lactam resistance, which is a clear antibiotic resistance function. A membrane-associated protein involved in beta-lactam resistance fits the AMR category.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
80,tetracycline resistance protein,0.3908694386482239,81,completed,,antibiotic_resistance,0.99,"[""tetracycline resistance"",""resistance protein""]","The annotation explicitly states tetracycline resistance, which is a classic antibiotic resistance function.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
81,MULTISPECIES: antimicrobial peptide resistance and lipid A acylation PagP,0.3906594514846802,82,completed,,antibiotic_resistance,0.98,"[""antimicrobial peptide resistance"",""PagP"",""lipid A acylation""]","PagP is explicitly annotated with antimicrobial peptide resistance, which is an AMR function. Lipid A acylation is a known resistance-related modification that can reduce susceptibility to host antimicrobial peptides.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
82,antimicrobial peptide LCI,0.39061659574508667,83,completed,,non_amr_virulence,0.88,"[""antimicrobial peptide""]","The annotation refers to an antimicrobial peptide itself, not a resistance determinant. It is more consistent with a bacteriocin/virulence-related antimicrobial compound than with a protein conferring resistance.",,0,2026-04-17T00:12:12.700Z,2026-04-17T00:12:12.700Z
