annotation,is_amr,category,confidence,evidence_terms,reason,row_idx
antimicrobial peptide ABC transporter ATPase,,antibiotic_resistance,,,,55
antimicrobial peptide ABC transporter ATP-binding protein,,antibiotic_resistance,,,,56
antibiotic ABC transporter,,ambiguous,,,,57
antibiotic biosynthesis regulator FhaA,,non_amr_antibiotic_biosynthesis,,,,58
methicillin resistance factor FemA,,antibiotic_resistance,,,,59
chloramphenicol resistance leader peptide,,antibiotic_resistance,,,,60
multiple antibiotic resistance transcriptional regulator MarR,,antibiotic_resistance,,,,61
quinolone resistance protein norA,,antibiotic_resistance,,,,62
putative multiple antibiotic resistance protein MarR,,antibiotic_resistance,,,,63
antibiotic ABC transporter ATP-binding protein,,ambiguous,,,,64
tetracycline resistance ribosomal protection protein Otr(A),,antibiotic_resistance,,,,65
antimicrobial peptide transport ABC transporter periplasmic binding protein,,antibiotic_resistance,,,,66
MULTISPECIES: antibiotic biosynthesis monooxygenase,,non_amr_antibiotic_biosynthesis,,,,67
bacitracin resistance transcriptional activator BcrR,,antibiotic_resistance,,,,68
bacitracin resistance protein BacA,,antibiotic_resistance,,,,69
bacitracin resistance undecaprenyl-diphosphatase BcrD,,antibiotic_resistance,,,,70
arsenical resistance operon transcriptional regulator ArsR,,non_amr_metal_resistance,,,,71
beta-lactam resistance family protein,,antibiotic_resistance,,,,72
bacitracin resistance ABC transporter permease subunit BcrB,,antibiotic_resistance,,,,73
fosmidomycin resistance protein,,antibiotic_resistance,,,,74
amonabactin biosynthesis non-ribosomal peptide synthetase AmoF,,non_amr_antibiotic_biosynthesis,,,,75
multidrug resistance protein A,,antibiotic_resistance,,,,76
putative resistance protein,,antibiotic_resistance,,,,77
antibiotic acetyltransferase,,antibiotic_resistance,,,,78
beta-lactam resistance membrane protein,,antibiotic_resistance,,,,79
tetracycline resistance protein,,antibiotic_resistance,,,,80
MULTISPECIES: antimicrobial peptide resistance and lipid A acylation PagP,,antibiotic_resistance,,,,81
antimicrobial peptide LCI,,non_amr_virulence,,,,82
putative biofilm synthesis protein,,non_amr_virulence,,,,83
cell wall-active antibiotics response protein LiaF,,antibiotic_resistance,,,,84
cryptic aminoglycoside resistance gene,,antibiotic_resistance,,,,85
fosfomycin resistance protein FosB,,antibiotic_resistance,,,,86
multidrug resistance protein,,antibiotic_resistance,,,,87
tetracycline resistance protein (plasmid),,antibiotic_resistance,,,,88
tetracycline resistance efflux system leader peptide,,antibiotic_resistance,,,,89
putative albicidin resistance protein,,antibiotic_resistance,,,,90
bacitracin resistance ABC transporter ATP-binding subunit BcrA,,antibiotic_resistance,,,,91
tetracycline resistance leader peptide,,antibiotic_resistance,,,,92
chloramphenicol resistance permease RarD,,antibiotic_resistance,,,,93
plasmid maintenance system antidote protein,,non_amr_transport,,,,94
mupirocin-resistant isoleucine--tRNA ligase,,antibiotic_resistance,,,,95
multidrug resistance protein B,,antibiotic_resistance,,,,96
MULTISPECIES: antibiotic resistance protein VanZ,,antibiotic_resistance,,,,97
fosfomycin resistance protein FosM2,,antibiotic_resistance,,,,98
putative multidrug resistance efflux pump,,antibiotic_resistance,,,,99
"transcriptional regulator (GntR family, cell wall antibiotics)",,antibiotic_resistance,,,,100
tetracycline resistance ribosomal protection protein Tet(O),,antibiotic_resistance,,,,101
quinolone resistance protein NorA,,antibiotic_resistance,,,,102
"bacitracin resistance undecaprenyl-diphosphatase, partial",,antibiotic_resistance,,,,103
phage resistance protein,,unknown,,,,104
tetracycline resistance ribosomal protection protein Tet(T),,antibiotic_resistance,,,,105
aminoglycoside/hydroxyurea antibiotic resistance kinase,,antibiotic_resistance,,,,106
penicillinase repressor,,antibiotic_resistance,,,,107
MULTISPECIES: multiple antibiotic resistance protein MarB,,antibiotic_resistance,,,,108
antibiotic ABC transporter permease,,antibiotic_resistance,,,,109
amikacin resistance N-acetyltransferase Eis2,,antibiotic_resistance,,,,110
cell wall-active antibiotics response protein VraT,,antibiotic_resistance,,,,111
antimicrobial peptide transport ABC transporter permease,,antibiotic_resistance,,,,112
multidrug resistance protein EmrB,,antibiotic_resistance,,,,113
tetracycline resistance ribosomal protection protein Tet(Q),,antibiotic_resistance,,,,114
aminoglycoside response regulator,,antibiotic_resistance,,,,115
phage antirepressor Ant,,non_amr_virulence,,,,116
bacteriophage L54a antirepressor,,non_amr_virulence,,,,117
peptide antibiotic darobactin A,,non_amr_antibiotic_biosynthesis,,,,118
tetracycline resistance ribosomal protection protein Tet(M),,antibiotic_resistance,,,,119
phage antirepressor,,unknown,,,,120
"transcriptional regulator (MarR family, low level antibiotic resistance)",,antibiotic_resistance,,,,121
polymyxin B resistance protein pmrD,,antibiotic_resistance,,,,122
antibiotic transport system permease,,ambiguous,,,,123
MULTISPECIES: putative antibiotic biosynthesis monooxygenase,,non_amr_antibiotic_biosynthesis,,,,124
resistance protein Rx N-terminal domain-containing protein,,antibiotic_resistance,,,,125
plasmid stabilization system antitoxin protein,,unknown,,,,126
multidrug resistance efflux pump,,antibiotic_resistance,,,,127
fosfomycin resistance protein FosM1,,antibiotic_resistance,,,,128
carbapenem self-resistance protein CarG family protein,,antibiotic_resistance,,,,129
transcriptional repressor of lmrAB and yxaGH operons (flavonoid and antibiotic resistance),,antibiotic_resistance,,,,130
acriflavin resistance protein A,,antibiotic_resistance,,,,131
amonabactin biosynthesis non-ribosomal peptide synthetase AmoG,,non_amr_antibiotic_biosynthesis,,,,132
regulator of biofilm formation,,non_amr_virulence,,,,133
tetracycline resistance ribosomal protection protein Tet(W),,antibiotic_resistance,,,,134
oxytetracycline resistance efflux MFS transporter OtrB,,antibiotic_resistance,,,,135
polymyxin resistance protein B,,antibiotic_resistance,,,,136
methicillin resistance determinant protein FmhA,,antibiotic_resistance,,,,137
antilisterial bacteriocin subtilosin biosynthesis protein AlbB,,non_amr_antibiotic_biosynthesis,,,,138
antibiotic transporter permease,,antibiotic_resistance,,,,139
MULTISPECIES: antimicrobial resistance protein Mig-14,,antibiotic_resistance,,,,140
MULTISPECIES: tetracycline resistance MFS efflux pump,,antibiotic_resistance,,,,141
peptide antibiotic transporter,,antibiotic_resistance,,,,142
"cell wall-active antibiotics response protein LiaF, partial",,antibiotic_resistance,,,,143
MULTISPECIES: multiple antibiotic resistance regulatory protein MarB,,antibiotic_resistance,,,,144
multidrug resistant protein-like protein,,antibiotic_resistance,,,,145
multidrug resistance protein PmpM,,antibiotic_resistance,,,,146
bacitracin non-ribosomal peptide synthetase BacB,,non_amr_antibiotic_biosynthesis,,,,147
tetracycline resistance ribosomal protection protein Tet(32),,antibiotic_resistance,,,,148
"carbapenem self-resistance protein CarG family protein, partial",,antibiotic_resistance,,,,149
conserved protein of unknown function (bacillithiol synthesis operon),,unknown,,,,150
small multidrug resistance protein,,antibiotic_resistance,,,,151
peptidoglycan synthetase,,unknown,,,,152
putative biofilm synthesis domain protein,,non_amr_virulence,,,,153
"MULTISPECIES: antibiotic resistance protein VanZ, partial",,antibiotic_resistance,,,,154
acriflavin resistance protein,,antibiotic_resistance,,,,155
multidrug resistance protein Y,,antibiotic_resistance,,,,156
tetracycline resistance ribosomal protection protein TetB(P),,antibiotic_resistance,,,,157
master regulator of biofilm formation,,non_amr_virulence,,,,158
beta-lactamase repressor,,antibiotic_resistance,,,,159
darobactin family peptide antibiotic,,non_amr_antibiotic_biosynthesis,,,,160
biofilm peroxide resistance protein BsmA,,antibiotic_resistance,,,,161
tetracycline resistance transcriptional repressor TetR,,antibiotic_resistance,,,,162
multidrug resistance protein D,,antibiotic_resistance,,,,163
MULTISPECIES: bacitracin resistance protein,,antibiotic_resistance,,,,164
multidrug resistant protein emrB,,antibiotic_resistance,,,,165
antibiotic transport system permease component,,ambiguous,,,,166
tetracycline resistance ribosomal protection protein Tet(36),,antibiotic_resistance,,,,167
peptide antibiotic darobactin B,,non_amr_antibiotic_biosynthesis,,,,168
abortive phage resistance protein,,unknown,,,,169
putative multidrug resistance protein,,antibiotic_resistance,,,,170
polyketide antibiotic transporter,,non_amr_transport,,,,171
cinnamycin family lantibiotic,,non_amr_antibiotic_biosynthesis,,,,172
fosfomycin resistance glutathione transferase,,antibiotic_resistance,,,,173
antimicrobial peptide ABC transporter permease SapB,,antibiotic_resistance,,,,174
MULTISPECIES: antibiotic biosynthesis monooxygenase family protein,,non_amr_antibiotic_biosynthesis,,,,175
MULTISPECIES: antibiotic transporter,,ambiguous,,,,176
peptide antibiotic darobactin D,,non_amr_antibiotic_biosynthesis,,,,177
MULTISPECIES: multiple antibiotic resistance transcriptional regulator MarR,,antibiotic_resistance,,,,178
bacteriophage resistance gene pglY,,unknown,,,,179
biofilm peroxide resistance protein,,non_amr_virulence,,,,180
lipoprotein implicated in Novobiocin resistance,,antibiotic_resistance,,,,181
bicyclomycin resistance protein,,antibiotic_resistance,,,,182
antilisterial bacteriocin subtilosin biosynthesis protein AlbD,,non_amr_antibiotic_biosynthesis,,,,183
tetracycline resistance transcriptional repressor TetR(C),,antibiotic_resistance,,,,184
aminotriazole resistance protein,,antibiotic_resistance,,,,185
carbapenem biosynthesis protein CarD,,non_amr_antibiotic_biosynthesis,,,,186
anti-CRISPR protein AcrIIA3,,unknown,,,,187
antimicrobial peptide ABC transporter substrate-binding protein SapA,,antibiotic_resistance,,,,188
antimicrobial peptide ABC transporter permease SapC,,antibiotic_resistance,,,,189
tetracycline resistance transcriptional repressor TetR(A),,antibiotic_resistance,,,,190
vancomycin resistance response regulator transcription factor VanR-A,,antibiotic_resistance,,,,191
VirK family antimicrobial peptide resistance protein,,antibiotic_resistance,,,,192
multidrug resistance protein MexB,,antibiotic_resistance,,,,193
resistance to Congo red protein,,ambiguous,,,,194
anti-CRISPR protein AcrF3,,non_amr_virulence,,,,195
fosfomycin resistance hydrolase FosX,,antibiotic_resistance,,,,196
fosfomycin resistance glutathione transferase FosF,,antibiotic_resistance,,,,197
bacteriocin biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,198
tetracycline resistance transcriptional repressor TetR(G),,antibiotic_resistance,,,,199
tetracycline resistance transcriptional repressor TetR(H),,antibiotic_resistance,,,,200
tetracycline resistance transcriptional repressor TetR(J),,antibiotic_resistance,,,,201
streptomycin biosynthesis regulator,,non_amr_antibiotic_biosynthesis,,,,202
multidrug resistance efflux pump membrane fusion protein,,antibiotic_resistance,,,,203
tetracycline resistance ribosomal protection protein Tet(44),,antibiotic_resistance,,,,204
tetracycline resistance ribosomal protection protein Tet(W/N/W),,antibiotic_resistance,,,,205
MULTISPECIES: Antimicrobial peptide resistance and lipid A acylation PagP,,antibiotic_resistance,,,,206
atypical membrane-integrating regulator of biofilm formation (Mistic protein),,non_amr_virulence,,,,207
chloramphenical resistance permease RarD,,antibiotic_resistance,,,,208
multidrug resistance efflux transporter family protein,,antibiotic_resistance,,,,209
"membrane associated phage-like stress regulator, nisin resistance",,antibiotic_resistance,,,,210
MULTISPECIES: tetracycline resistance ribosomal protection protein,,antibiotic_resistance,,,,211
vancomycin resistance response regulator transcription factor VanR-F,,antibiotic_resistance,,,,212
tetracycline resistance transcriptional repressor TetR(B),,antibiotic_resistance,,,,213
bacitracin non-ribosomal peptide synthetase BacC,,non_amr_antibiotic_biosynthesis,,,,214
putative resistance protein MccF,,antibiotic_resistance,,,,215
lantibiotic paenibacillin,,non_amr_antibiotic_biosynthesis,,,,216
vancomycin resistance response regulator transcription factor VanR-D,,antibiotic_resistance,,,,217
tetracycline resistance transcriptional repressor TetR(Y),,antibiotic_resistance,,,,218
fosfomycin resistance hydrolase FosXCC,,antibiotic_resistance,,,,219
bifunctional flagellar clutch and glycosyltransferase acting during biofilm formation,,non_amr_virulence,,,,220
disease resistance family protein,,unknown,,,,221
bacteriocin microcin,,antibiotic_resistance,,,,222
oxetanocin A resistance protein OxrB,,antibiotic_resistance,,,,223
MULTISPECIES: amonabactin biosynthesis non-ribosomal peptide synthetase AmoF,,non_amr_antibiotic_biosynthesis,,,,224
vancomycin resistance response regulator transcription factor VanR-O,,antibiotic_resistance,,,,225
small multi-drug resistant family protein,,antibiotic_resistance,,,,226
antimicrobial peptide ABC transporter ATP-binding protein SapF,,antibiotic_resistance,,,,227
beta-lactam binding protein AmpH,,antibiotic_resistance,,,,228
multidrug resistance protein Mmr,,antibiotic_resistance,,,,229
"vancomycin resistance response regulator transcription factor, VanR-F/VanR-M family",,antibiotic_resistance,,,,230
biofilm regulator,,non_amr_virulence,,,,231
anti-CRISPR protein AcrIIA4,,non_amr_virulence,,,,232
"fosmidomycin resistance protein, partial",,antibiotic_resistance,,,,233
gramicidin S non-ribosomal peptide synthetase GrsA,,non_amr_antibiotic_biosynthesis,,,,234
"tetracycline resistance transcriptional repressor TetR, partial",,antibiotic_resistance,,,,235
quinolone resistance pentapeptide repeat protein QnrB96,,antibiotic_resistance,,,,236
acriflavin resistance membrane protein,,antibiotic_resistance,,,,237
"MULTISPECIES: antibiotic biosynthesis monooxygenase family protein, partial",,non_amr_antibiotic_biosynthesis,,,,238
dynobactin A family peptide antibiotic,,non_amr_antibiotic_biosynthesis,,,,239
MULTISPECIES: antibiotic biosynthesis regulator FhaB,,non_amr_antibiotic_biosynthesis,,,,240
multidrug resistance protein (Na(+)/drug antiporter),,antibiotic_resistance,,,,241
anti-CRISPR protein AcrIIA1,,unknown,,,,242
beta-lactamase regulator AmpE,,antibiotic_resistance,,,,243
MULTISPECIES: phage resistance protein,,unknown,,,,244
lantibiotic streptin,,non_amr_antibiotic_biosynthesis,,,,245
biofilm formation regulator BssR,,non_amr_virulence,,,,246
multidrug resistance operon repressor MexR,,antibiotic_resistance,,,,247
bacteriocin,,non_amr_antibiotic_biosynthesis,,,,248
bacitracin non-ribosomal peptide synthetase BacA,,antibiotic_resistance,,,,249
mecC-type methicillin resistance repressor MecI,,antibiotic_resistance,,,,250
resistance to complement killing (plasmid),,non_amr_virulence,,,,251
MULTISPECIES: antibiotic biosynthesis regulator FhaA,,non_amr_antibiotic_biosynthesis,,,,252
gramicidin S non-ribosomal peptide synthetase GrsB,,non_amr_antibiotic_biosynthesis,,,,253
carbapenem biosynthesis protein CpmD,,non_amr_antibiotic_biosynthesis,,,,254
carbapenem biosynthesis protein CpmF,,non_amr_antibiotic_biosynthesis,,,,255
"MULTISPECIES: tetracycline resistance MFS efflux pump, partial",,antibiotic_resistance,,,,256
acriflavin resistance protein AcrA-like protein,,antibiotic_resistance,,,,257
mediterrocin family bacteriocin,,non_amr_antibiotic_biosynthesis,,,,258
bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,,antibiotic_resistance,,,,259
gramicidin S biosynthesis thioesterase GrsT,,non_amr_antibiotic_biosynthesis,,,,260
heterocycloanthracin/sonorensin family bacteriocin,,non_amr_antibiotic_biosynthesis,,,,261
MULTISPECIES: small multidrug resistance protein,,antibiotic_resistance,,,,262
synthesis of sporulation killing factor A,,non_amr_virulence,,,,263
putative membrane protein involved in resistance to lambda and N4 phages,,unknown,,,,264
5-nitroimidazole antibiotic resistance protein NimA,,antibiotic_resistance,,,,265
amonabactin biosynthesis bifunctional protein AmoB,,non_amr_antibiotic_biosynthesis,,,,266
bacillomycin D hybrid PKS/NRPS BamA,,non_amr_antibiotic_biosynthesis,,,,267
tetracycline resistance ribosomal protection mosaic protein Tet(O/32/O),,antibiotic_resistance,,,,268
methyl viologen resistance protein,,non_amr_metal_resistance,,,,269
phage antirepressor protein,,non_amr_virulence,,,,270
MULTISPECIES: erythromycin resistance leader peptide,,antibiotic_resistance,,,,271
mitomycin antibiotics/polyketide fumonisin biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,272
carbapenem biosynthesis transcriptional regulator CarR,,non_amr_antibiotic_biosynthesis,,,,273
extended-spectrum beta-lactamase/aminoglycoside modifying enzyme fusion protein (plasmid),,antibiotic_resistance,,,,274
lysostaphin resistance A-like protein,,antibiotic_resistance,,,,275
MULTISPECIES: arsenical resistance operon transcriptional regulator ArsR,,non_amr_metal_resistance,,,,276
carbapenem biosynthesis protein CpmE,,non_amr_antibiotic_biosynthesis,,,,277
chloroquine resistance protein,,antibiotic_resistance,,,,278
MULTISPECIES: phage antirepressor,,non_amr_virulence,,,,279
vancomycin sensitivity protein,,antibiotic_resistance,,,,280
arsenical resistance protein ArsH,,non_amr_metal_resistance,,,,281
aminoglycoside/multidrug efflux system,,antibiotic_resistance,,,,282
amonabactin biosynthesis isochorismate synthase AmoC,,non_amr_antibiotic_biosynthesis,,,,283
bacteriocin immunity protein,,antibiotic_resistance,,,,284
peptide antibiotic/peptide nucleic acid transporter,,antibiotic_resistance,,,,285
QnrB family quinolone resistance pentapeptide repeat protein,,antibiotic_resistance,,,,286
anti-CRISPR protein AcrIIC5,,unknown,,,,287
metabolite permease involved in resistance to cell wall inhibitors,,antibiotic_resistance,,,,288
MULTISPECIES: macrolide resistance MFS transporter Mrx(A),,antibiotic_resistance,,,,289
"phage resistance protein, partial",,unknown,,,,290
multidrug resistance protein MexA,,antibiotic_resistance,,,,291
anti-CRISPR protein AcrIIC1,,non_amr_virulence,,,,292
macrolide-specific efflux protein,,antibiotic_resistance,,,,293
streptomycin biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,294
"multidrug resistance efflux transporter family protein, partial",,antibiotic_resistance,,,,295
multidrug resistance protein MdtM,,antibiotic_resistance,,,,296
biofilm formation regulator BssS,,non_amr_virulence,,,,297
abortive phage resistance protein AbiGI,,non_amr_virulence,,,,298
thiopeptide-type bacteriocin biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,299
quinolinate synthetase,,unknown,,,,300
vancomycin resistance response regulator transcription factor VanR-G-Cd,,antibiotic_resistance,,,,301
acriflavine resistance protein A precursor,,antibiotic_resistance,,,,302
energy-dependent efflux protein for methyl viologen resistance,,antibiotic_resistance,,,,303
MULTISPECIES: colistin resistant protein CrrC,,antibiotic_resistance,,,,304
anti-bacteriophage protein,,unknown,,,,305
mycothiol system anti-sigma-R factor,,non_amr_virulence,,,,306
multidrug resistance protein K,,antibiotic_resistance,,,,307
"multidrug resistance ABC transporter, ATP-binding and permease components",,antibiotic_resistance,,,,308
MULTISPECIES: phenazine antibiotic biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,309
MULTISPECIES: anthracycline biosynthesis tailoring methylesterase RdmC,,non_amr_antibiotic_biosynthesis,,,,310
multidrug resistance protein MdtO,,antibiotic_resistance,,,,311
multidrug resistance protein MdtN,,antibiotic_resistance,,,,312
protein tyrosine kinase involved in biofilm matrix formation,,non_amr_virulence,,,,313
FosB/FosD family fosfomycin resistance bacillithiol transferase,,antibiotic_resistance,,,,314
quorum-sensing control repressor,,non_amr_virulence,,,,315
thiopeptide-type bacteriocin,,non_amr_antibiotic_biosynthesis,,,,316
multidrug resistance transmembrane protein (MFS superfamily),,antibiotic_resistance,,,,317
biofilm/acid-resistance regulator YmgB/AriR,,non_amr_virulence,,,,318
phage antirepressor Cro,,non_amr_virulence,,,,319
penicillin amidase,,non_amr_antibiotic_biosynthesis,,,,320
carbapenem biosynthesis protein CpmG,,non_amr_antibiotic_biosynthesis,,,,321
"polyketide antibiotic transporter, partial",,non_amr_transport,,,,322
biofilm formation regulator HmsP,,non_amr_virulence,,,,323
carbapenem biosynthesis protein CpmH,,non_amr_antibiotic_biosynthesis,,,,324
anti-restriction protein (plasmid),,non_amr_virulence,,,,325
macrolide-inactivating glycosyltransferase,,antibiotic_resistance,,,,326
ErmCL family antibiotic resistance leader peptide,,antibiotic_resistance,,,,327
antitoxin of toxin-antitoxin stability system,,non_amr_virulence,,,,328
two-component sensor potassium-responsive histidine kinase regulating cannibalism and biofilm formation,,non_amr_virulence,,,,329
putative aminotransferase involved in biofilm matrix formation,,non_amr_virulence,,,,330
tetracycline resistance transcriptional repressor TetR(62),,antibiotic_resistance,,,,331
arsenic resistance NADPH-dependent reductase ArsH,,non_amr_metal_resistance,,,,332
linearmycin resistance ATP-binding protein LnrL,,antibiotic_resistance,,,,333
biofilm-forming protein,,non_amr_virulence,,,,334
pyruvyl transferase for matrix biofilm formation,,non_amr_virulence,,,,335
macrolide transporter,,antibiotic_resistance,,,,336
MULTISPECIES: VirK family antimicrobial peptide resistance protein,,antibiotic_resistance,,,,337
bacteriocin biosynthesis protein AlbG,,non_amr_antibiotic_biosynthesis,,,,338
MULTISPECIES: heavy-metal resistance,,non_amr_metal_resistance,,,,339
mersacidin family lantibiotic,,non_amr_antibiotic_biosynthesis,,,,340
arsenic resistance N-acetyltransferase ArsN2,,non_amr_metal_resistance,,,,341
biofilm-dependent modulation protein,,non_amr_virulence,,,,342
antirepressor protein,,unknown,,,,343
putative membrane located multidrug resistance protein,,antibiotic_resistance,,,,344
macrolide export ATP-binding protein/permease,,antibiotic_resistance,,,,345
arsenic resistance protein,,non_amr_metal_resistance,,,,346
peptide antibiotic transporter SbmA,,antibiotic_resistance,,,,347
MULTISPECIES: fosfomycin resistance bacillithiol transferase FosY,,antibiotic_resistance,,,,348
MULTISPECIES: tetracycline resistance ribosomal protection protein Otr(A),,antibiotic_resistance,,,,349
antirepressor,,unknown,,,,350
beta-lactamase synthesis regulator/muropeptide transporter,,antibiotic_resistance,,,,351
phage immunity repressor protein,,non_amr_virulence,,,,352
LCI family antimicrobial peptide,,antibiotic_resistance,,,,353
multi antimicrobial extrusion protein MatE,,antibiotic_resistance,,,,354
putative quorum-sensing-regulated virulence factor,,non_amr_virulence,,,,355
anthracycline biosynthesis tailoring methylesterase RdmC,,non_amr_antibiotic_biosynthesis,,,,356
aeruginoside biosynthesis non-ribosomal peptide synthetase AerB,,non_amr_antibiotic_biosynthesis,,,,357
multidrug efflux system protein AcrB,,antibiotic_resistance,,,,358
ABC antibiotics transporter,,ambiguous,,,,359
"beta-lactamase regulator AmpE, partial",,antibiotic_resistance,,,,360
multidrug resistance protein MdtH,,antibiotic_resistance,,,,361
putative O-acetyltransferase involved in biofilm matrix formation,,non_amr_virulence,,,,362
maintenance protein tyrosine kinase involved in biofilm formation,,non_amr_virulence,,,,363
MULTISPECIES: cell wall-active antibiotics response protein LiaF,,antibiotic_resistance,,,,364
phage antiterminator,,non_amr_virulence,,,,365
bacteriocin biosynthesis protein AlbD,,non_amr_antibiotic_biosynthesis,,,,366
MULTISPECIES: antibiotic ABC transporter,,ambiguous,,,,367
MULTISPECIES: bacitracin resistance undecaprenyl-diphosphatase,,antibiotic_resistance,,,,368
MULTISPECIES: abortive phage resistance protein,,non_amr_virulence,,,,369
MULTISPECIES: tetracycline resistance efflux system leader peptide,,antibiotic_resistance,,,,370
heavy-metal resistance,,non_amr_metal_resistance,,,,371
antirepressor SinI,,unknown,,,,372
gentamicin resistance ATP-binding protein Gar,,antibiotic_resistance,,,,373
biofilm formation regulatory protein BssR,,non_amr_virulence,,,,374
lipoprotein for biofilm formation,,non_amr_virulence,,,,375
putative immunity/bacteriocin fusion bifunctional protein,,antibiotic_resistance,,,,376
"tetracycline resistance transcriptional repressor TetR(A), partial",,antibiotic_resistance,,,,377
"septum formation, penicillin binding protein 3, peptidoglycan synthetase",,non_amr_transport,,,,378
MiAMP1 family antimicrobial peptide,,antibiotic_resistance,,,,379
multidrug efflux system subunit A,,antibiotic_resistance,,,,380
phage regulatory protein/antirepressor Ant,,non_amr_virulence,,,,381
phage repressor protein/antirepressor Ant,,non_amr_virulence,,,,382
peptidogalycan biosysnthesis protein,,unknown,,,,383
class III bacteriocin,,non_amr_virulence,,,,384
putative bacteriocin,,non_amr_antibiotic_biosynthesis,,,,385
T6SS effector antibacterial DNase,,non_amr_virulence,,,,386
"tetracycline resistance transcriptional repressor TetR(G), partial",,antibiotic_resistance,,,,387
toxin-antitoxin system,,non_amr_virulence,,,,388
lipopolysaccharide biosynthesis,,non_amr_virulence,,,,389
linear gramicidin non-ribosomal peptide synthetase LgrA,,non_amr_antibiotic_biosynthesis,,,,390
MULTISPECIES: Metal Resistance,,non_amr_metal_resistance,,,,391
elgicin/penisin family lantibiotic,,non_amr_antibiotic_biosynthesis,,,,392
